week,date,rank,skater,trick,line,switch,slowmo,ig,replayed,obstacle,obstacledetail,location,notes,points
43,11/6/2020,2,Liam McCabe,kickflip,,,,,1,stairs,,,,9
43,11/6/2020,1,Noah Nayef,Ollie to fs bluntslide to fakie,,,1,,1,gap,Gap to curb,,,10
44,11/13/2020,10,Cher Strauberry,Pressure Flip,1,,1,,,gap,,EMB,Trans Skater,1
44,11/13/2020,9,Myles Underwood,Roll on to pressure flip,1,,,,,flat,rock,,,2
44,11/13/2020,8,Grayson Schick,Bs wallride,,,1,,,wall,Down stairs,,,3
44,11/13/2020,7,Robert Neal,Switch heelflip,,1,1,,,Stairs,,,,4
44,11/13/2020,6,Leo Baker,Nose manual to nollie kickflip,1,,1,,1,pad,Upwards pad,,Trans Skater,5
44,11/13/2020,5,Giovanni Vianna,Bs nosebluntslide,,,1,,1,rail,handrail,,,6
44,11/13/2020,4,Trent McClung,Ollie over to fs noseslide to nollie transfer,1,,,,1,ledge,Ledge to gap,,,7
44,11/13/2020,3,Miles Silvas,Nollie bs kickflip,,1,1,,1,gap,Over rail into bank,,,8
44,11/13/2020,2,Tom Knox,360flip to ollie to ollie to fs 180,1,,,,,stairs,Up stairs,,Quick footed,9
44,11/13/2020,1,Hyun Kummer,Bs big flip,1,,1,,,stairs,,,Quick footed,10
45,11/20/2020,10,Daan Van Der Linden,Bs wallride to allyoop nollie to  bs axel stall ,,,,,,wall,Bank to wall,,,1
45,11/20/2020,9,Kader Sylla,Switch kickflip,1,1,,,1,stairs,,,,2
45,11/20/2020,8,Joao Galvao,Ollie to nose bonk,,,,1,,gap,,,,3
45,11/20/2020,7,Kentaro Powell,Polejam bs 50-50 to tail,,,1,,,pole,,,,4
45,11/20/2020,6,Shareef Grady,Bs shove,,,,,1,stairs,,,,5
45,11/20/2020,5,Lucas Puig,Switch wallie to fs 180 fs body varial,1,1,,1,,wall,,,,6
45,11/20/2020,4,Vincent Milou,Bs smith,,,1,,,ledge,hubba,La Dome,,7
45,11/20/2020,3,John Shanahan,Fakie bs bigspin to manual to bs bigspin,,,,,,pad,,C Benches,,8
45,11/20/2020,2,Mason Silva,Bs boardslide to bs boardslide,,,,,,rail,handrail,,,9
45,11/20/2020,1,Tom Knox,Ollie to bs lipslide,1,,1,,,gap,Over trash can to curb,,5 trick line,10
46,11/27/2020,10,Tyler Surrey,Nollie Wallie 360flip,,1,1,,1,Wall,,,,1
46,11/27/2020,9,Hugo Maillard,Fakie kickflip to switch manual to switch wallride to fakie,,,,,,flat,Flat to wall,,,2
46,11/27/2020,8,Wes Kremer,Backside wallride to fs 180 to switch fs overcrooked,,,1,,1,rail,handrail,,,3
46,11/27/2020,7,TJ Rogers,Switch bs shove,1,1,,,,gap,Over rail,,,4
46,11/27/2020,6,Leo Cholet,Nollie bs 180,,1,1,,1,gap,Into bank,,,5
46,11/27/2020,5,Gilbert Crockett,Bs kickflip to switch manual to switch fs 180,,,1,,1,pad,,,,6
46,11/27/2020,4,Alexis Ramirez,Bs 50-50,,,1,,1,rail,handrail,,,7
46,11/27/2020,3,Alex Wllms,Bs 50-50,,, , ,1,rail,Rail to gap,,,8
46,11/27/2020,2,Elijah Berle,50-50,,,,,,rail,Rail to rail,,,9
46,11/27/2020,1,Brandon Turner,Switch hardflip,,1,1,,1,gap,,Wallenberg,,10
47,12/4/2020,10,Hiroki Muraoka,Ollie,,,1,,1,gap,Thread the needle,,Crazy obstacle,1
47,12/4/2020,9,Johnny Purcell,Switch fs crooked,,1,,,,ledge,,,,2
47,12/4/2020,8,Jake Johnson,Fs heelflip,,,,,,gap,Over rail,,,3
47,12/4/2020,7,Leon Charo-Tite,Bs 180 to noseblunt,,,1,,1,transistion,Street quarterpipe,,Crazy obstacle,4
47,12/4/2020,6,Taylor Kirby,Kickflip,,,1,,1,gap,Street gap,,,5
47,12/4/2020,5,Milton Martinez,Fs 180,1,,,,,Stairs,,,,6
47,12/4/2020,4,Jamie Foy,Bs tailslide to bs 360,,,,,1,ledge,Out ledge,Zuccotti Park,,7
47,12/4/2020,3,Louie Lopez ,Bs noseslide to nollie kickflip,1,,,,1,curb,,,,8
47,12/4/2020,2,Alexis Sablone,Kickflip,1,,,,1,gap,Over barrier,Museum of Natural History,,9
47,12/4/2020,1,Pedro Delfino,Fs 50-50,,,1,,1,Rail,Handrail,,,10
48,12/11/2020,10,Robbin De Wit,Fs shove to bs nosegrind to bs 180,,,1,,1,ledge,,,,1
48,12/11/2020,9,Alex Richard,Heelflip to bs lipslide,,,,,1,curb,Gap to curb,,,2
48,12/11/2020,8,Will Marshall,Fs shove to bs nosegrind to heelflip,,,,1,,ledge,,Museum of Natural History,,3
48,12/11/2020,7,Casper Brooker,Bs smith to bs 180,1,,,1,,ledge,,South Bank,,4
48,12/11/2020,6,David Holzknecht,Switch kickflip,1,1,,,,gap,Over barrier,,,5
48,12/11/2020,5,John Francomacaro,Kickflip foot plant,,,,,,gap,Over barrier,Blubba,,6
48,12/11/2020,4,Andrew Wilson,Manual to roll on 5-0, ,,,,,rail,Ledge to rail,,,7
48,12/11/2020,3,Max Palmer,Nollie to bs noseblunt firecracker,,1,1,,1,gap,,Max Palmer Park,,8
48,12/11/2020,2,Nik Stain,Nose manual,,,,,,Pad,Pad to stairs,,,9
48,12/11/2020,1,Cyrus Bennett,Bs tailslide to bs kickflip,,,,,,ledge,Hubba,Blubba,,10
49,12/18/2020,10,Keith Denley,360flip,1,,,,,gap,Flat gap,,,1
49,12/18/2020,9,Kevin Coakley,Nollie nose manual,,1,,,,pad,,,,2
49,12/18/2020,8,Akobi Williams,Early grab bs shove,1,,,,1,Stairs,,,,3
49,12/18/2020,7,Tyler Dietterich,Bs smith,,,,,1,Rail,handrail,,,4
49,12/18/2020,6,Dan Fisher-Eustance,Switch bs 360 ollie,,1,1,,1,Hip,,,,5
49,12/18/2020,5,Luke Malaney,Manual to ollie to ollie,,,,,,pad,,,Quick footed,6
49,12/18/2020,4,Max Murphy,Bs crooked,1,,,,,rail,Into bank,,Aka Hank Scorsese,7
49,12/18/2020,3,Elijah Berle,180 to switch overcrooked to fakie,,,,,,rail,Bank to flat rail,,,8
49,12/18/2020,2,Carl Aikens,Bs big spin,,,,,,gap,Over barrier,Blubba,,9
49,12/18/2020,1,Dougie George,Nose manual to nollie bs kickflip,,,1,,1,pad,Into bank,South Bank,,10
